"seed","replicate","method","parameter","truth","estimate","abs_error"
20260825,13,"separate_mirage","eta2_C2",0.15,0.236331210326563,0.0863312103265627
20260825,13,"separate_mirage","eta2_C3",0.4,0.992908945753454,0.592908945753454
20260825,13,"mtada_aggregated","pi00",0.94,0.93934066,0.000659340000000008
20260825,13,"mtada_aggregated","pi10",0.04,0.04065934,0.000659340000000001
20260825,13,"mtada_aggregated","pi01",0.01,0.01065934,0.00065934
20260825,13,"mtada_aggregated","pi11",0.01,0.00934066,0.00065934
20260826,14,"mirage_joint","pi00",0.94,0.867618852051815,0.0723811479481854
20260826,14,"mirage_joint","pi10",0.04,0.0351492348758458,0.00485076512415416
20260826,14,"mirage_joint","pi01",0.01,0.0378467492626632,0.0278467492626632
20260826,14,"mirage_joint","pi11",0.01,0.0593851638096763,0.0493851638096763
20260826,14,"mirage_joint","eta1_C1",0.05,0.101225199483896,0.0512251994838956
20260826,14,"mirage_joint","eta1_C2",0.2,6.5122118479769e-06,0.199993487788152
20260826,14,"mirage_joint","eta1_C3",0.5,0.691771184781232,0.191771184781232
20260826,14,"mirage_joint","eta2_C1",0.03,0.0107418640078291,0.0192581359921709
20260826,14,"mirage_joint","eta2_C2",0.15,0.169767481407906,0.0197674814079064
20260826,14,"mirage_joint","eta2_C3",0.4,0.27899841521275,0.12100158478725
20260826,14,"separate_mirage","pi00",0.94,0.931,0.00900000000000001
20260826,14,"separate_mirage","pi10",0.04,0.049,0.009
20260826,14,"separate_mirage","pi01",0.01,0.019,0.009
20260826,14,"separate_mirage","pi11",0.01,0.001,0.009
20260826,14,"separate_mirage","eta1_C1",0.05,0.204062482980355,0.154062482980355
20260826,14,"separate_mirage","eta1_C2",0.2,1.27265043478911e-05,0.199987273495652
20260826,14,"separate_mirage","eta1_C3",0.5,0.944324303423903,0.444324303423903
20260826,14,"separate_mirage","eta2_C1",0.03,0.0415549423192836,0.0115549423192836
20260826,14,"separate_mirage","eta2_C2",0.15,0.370899593849369,0.220899593849369
20260826,14,"separate_mirage","eta2_C3",0.4,0.61407995629216,0.21407995629216
20260826,14,"mtada_aggregated","pi00",0.94,0.93889101,0.00110898999999998
20260826,14,"mtada_aggregated","pi10",0.04,0.04110899,0.00110899
20260826,14,"mtada_aggregated","pi01",0.01,0.01110899,0.00110899
20260826,14,"mtada_aggregated","pi11",0.01,0.00889101,0.00110899
20260827,15,"mirage_joint","pi00",0.94,0.789622939023676,0.150377060976324
20260827,15,"mirage_joint","pi10",0.04,0.176300139628241,0.136300139628241
20260827,15,"mirage_joint","pi01",0.01,0.0153845653402195,0.00538456534021949
20260827,15,"mirage_joint","pi11",0.01,0.018692356007864,0.00869235600786405
20260827,15,"mirage_joint","eta1_C1",0.05,0.100560204068105,0.050560204068105
20260827,15,"mirage_joint","eta1_C2",0.2,0.0419997268503143,0.158000273149686
20260827,15,"mirage_joint","eta1_C3",0.5,0.258876251940885,0.241123748059115
20260827,15,"mirage_joint","eta2_C1",0.03,0.0555486001431586,0.0255486001431586
20260827,15,"mirage_joint","eta2_C2",0.15,0.311609921304575,0.161609921304575
20260827,15,"mirage_joint","eta2_C3",0.4,0.746655972366525,0.346655972366525
20260827,15,"separate_mirage","pi00",0.94,0.931,0.00900000000000001
20260827,15,"separate_mirage","pi10",0.04,0.049,0.009
20260827,15,"separate_mirage","pi01",0.01,0.019,0.009
20260827,15,"separate_mirage","pi11",0.01,0.001,0.009
20260827,15,"separate_mirage","eta1_C1",0.05,0.265566471266134,0.215566471266134
20260827,15,"separate_mirage","eta1_C2",0.2,0.0834727513586149,0.116527248641385
20260827,15,"separate_mirage","eta1_C3",0.5,0.547228491633102,0.0472284916331017
20260827,15,"separate_mirage","eta2_C1",0.03,0.054866981452128,0.024866981452128
